#period	period time	calc time
1	999	4506
2	5253	1746
3	2737	4522
4	5260	1752
5	2491	1500
6	2251	4986
7	5490	1745
8	2494	2009
9	5762	1747
10	2490	1749
11	2745	1744
12	4749	1750
13	2499	1749
14	2747	1500
15	4746	1750
16	747	5519
17	747	6759
18	7504	1752
19	2498	1751
20	2500	1998
21	5994	1501
22	2248	1751
23	2748	1750
24	2498	1753
25	5490	2018
26	2503	1753
27	2501	2001
28	5996	1754
29	2249	1750
30	2747	1501
31	5002	1749
32	2502	1739
33	5234	1507
34	2508	1762
35	2495	1499
36	5244	1501
37	2498	1749
38	2490	1762
39	6004	1499
40	2490	1759
41	2506	1756
42	5989	1772
43	2507	1751
44	2497	1750
45	4996	1754
46	2491	1758
47	5255	1499
48	2496	1754
49	5497	1491
50	2287	1957
51	2700	1522
52	6256	1501
53	2247	2001
54	2745	1754
55	2509	4494
56	4987	2002
57	2749	1996
58	1906	746
59	1906	2267
60	3254	1752
61	5750	1747
62	2494	1752
63	2500	1998
64	4998	1748
65	2499	1750
66	5233	1755
67	2499	1750
68	5502	1505
69	2513	1739
70	2735	1502
71	4997	1751
72	2498	2001
73	3497	2004
74	2503	1746
75	5483	1503
76	2500	1750
77	5257	1499
78	2502	1744
79	5489	1499
80	2247	1995
81	2498	1750
82	5497	1503
83	2498	2063
84	2746	1763
85	5758	1493
86	2480	1760
87	2760	1738
88	2245	4502
89	5495	1752
90	2499	4490
91	4997	1752
92	2748	1744
93	5755	1494
94	2489	1752
95	2748	1742
96	5749	1497
97	2495	1752
98	2749	1741
99	5747	1502
100	2496	1747
101	2495	1748
102	6007	1495
103	2493	1998
104	2745	2001
105	5997	1746
106	2245	2000
107	2750	1747
108	2501	6241
109	7237	1520
110	2507	1749
111	2745	1758
112	5747	1751
113	2498	2000
114	2750	1751
115	2490	4253
116	5253	1501
117	2499	1994
118	6503	1495
119	996	4252
120	4999	1751
121	2740	1766
122	2510	4246
123	5246	1498
124	2499	1746
125	5485	1519
126	2260	1993
127	5745	1743
128	745	1758
129	745	3756
130	7500	1747
131	1740	999
132	741	1502
133	741	7018
134	7503	1748
135	999	4506
136	999	6010
137	6748	1756
138	5999	1999
139	2745	1749
140	2238	2014
141	2999	1505
142	6009	1742
143	2245	2001
144	2747	2001
145	5995	1502
146	2249	1751
147	2750	1999
148	5987	1504
149	2250	1750
150	2763	1993
151	5987	1503
152	2247	2741
153	6496	1496
154	2248	1748
155	2502	4496
156	5234	1753
157	2501	1750
158	5511	1494
159	2490	1757
160	4746	1758
161	2499	1751
162	2498	2001
163	4996	1751
164	2501	1748
165	5241	1747
166	2511	1743
167	5492	1494
168	2494	1760
169	2746	1521
170	4998	2001
171	2497	2001
172	1503	1000
173	1503	2760
174	3511	1748
175	5986	1501
176	2998	750
177	2998	2262
178	3250	1510
179	2247	4250
180	5248	1749
181	2487	1751
182	6017	1490
183	2488	1750
184	2497	1751
185	5995	1502
186	2250	2003
187	2748	1994
188	5996	1500
189	2493	1751
190	2743	1768
191	5764	1494
192	2003	998
193	997	1506
194	997	6735
195	7241	2001
196	2751	2011
197	5738	1770
198	2508	1750
199	2498	1748
200	2496	6488
201	6996	2000
202	2998	1751
203	2750	1755
204	5746	1500
205	2487	1750
206	2748	1754
207	5762	1495
208	2497	1995
209	2740	1756
210	5749	1501
211	2498	2000
212	2747	1753
213	2249	4494
214	5486	1518
215	2248	2006
216	5757	2001
217	2499	1999
218	2746	1753
219	5997	1744
220	2247	2001
221	2748	1753
222	7497	1744
223	2506	1739
224	2236	1999
225	2750	2002
226	5745	1501
227	2509	1992
228	2738	2003
229	5750	1748
230	2504	2083
231	2730	1760
232	2267	4506
233	5489	1751
234	2497	4492
235	4996	1751
236	2753	1753
237	5742	1751
238	2498	2001
239	2739	2002
240	5766	1743
241	1497	1003
242	1497	2751
243	6497	2003
244	2745	1755
245	2502	1992
246	5746	1492
247	2491	1763
248	5257	1750
249	2497	1749
250	2501	4485
251	5246	1497
252	2497	1750
253	5246	1748
254	2500	2003
255	5986	1498
256	2248	1760
257	2766	1741
258	2493	4483
259	5239	1501
260	2505	4243
261	4990	1753
262	2754	1743
263	5982	1501
264	2248	2001
265	2768	1743
266	5990	1497
267	2245	2005
268	2748	2001
269	5996	1501
270	2249	2001
271	2758	1981
272	5977	1519
273	2252	2001
274	2752	1995
275	6001	1501
276	2240	2007
277	2751	2000
278	6004	1496
279	2482	1771
280	2506	1743
281	6005	1493
282	2489	1761
283	2499	1755
284	6001	1745
285	2500	1742
286	2489	2012
287	5000	1754
288	2500	1738
289	5236	1768
290	2507	2010
291	2752	1496
292	5995	1997
293	2495	1999
294	2746	2005
295	5750	2006
296	2496	1751
297	2740	1761
298	4763	1753
299	2492	1750
300	2498	2001
301	4998	1997
302	2497	1748
303	5502	1497
304	2494	1747
305	2494	1990
306	5990	2014
307	2747	1759
308	2506	4506
309	5247	2000
310	2747	4759
311	5248	1752
312	2750	1753
313	5735	1504
314	2500	1999
315	2764	1997
316	5740	1500
317	2496	2001
318	2749	1750
319	5497	1502
320	2504	1748
321	2489	4242
322	5259	1486
323	2479	1770
324	5258	1750
325	2506	1995
326	5736	1500
327	748	1752
328	748	3511
329	7497	1501
330	2490	1998
331	2749	2013
332	5758	1497
333	1496	1005
334	1496	2756
335	6500	1989
336	1494	1004
337	1494	2761
338	5743	1766
339	2246	2019
340	2758	4738
341	5494	1751
342	2499	2000
343	5753	1754
344	2743	1746
345	2497	1991
346	5992	1757
347	2246	2019
348	2757	1757
349	2497	6500
350	7248	1499
351	2501	1744
352	2748	1993
353	5741	1748
354	2495	1742
355	2744	1771
356	2500	4498
357	5253	1748
358	2495	2004
359	5503	1495
360	3497	1504
361	2248	2005
362	2990	2003
363	5764	1743
364	1748	1002
365	5745	500
366	5745	1996
367	2998	1751
368	2248	2000
369	7489	1501
370	2513	1746
371	2740	1503
372	2498	4514
373	5237	1760
374	2508	2005
375	1502	996
376	1502	2509
377	3495	2005
378	6007	1747
379	2238	2000
380	2988	1750
381	5763	1493
382	2239	2006
383	2752	2003
384	5996	1497
385	2484	1754
386	2504	1748
387	6006	1495
388	2497	1749
389	2497	1751
390	5996	1743
391	2500	1745
392	2497	2002
393	4998	1741
394	2486	1752
395	5260	1745
396	2497	1751
397	2751	1750
398	5987	1990
399	2505	1745
400	2748	4168
401	5244	1747
402	2747	4242
403	5002	1995
404	2740	2001
405	5999	1498
406	2246	2000
407	2747	2000
408	5996	1500
409	2248	2002
410	2748	1991
411	5994	1528
412	2498	1755
413	2506	1512
414	5989	1751
415	2511	1742
416	2485	2007
417	6000	1746
418	2497	1743
419	2493	1997
420	5254	1749
421	2748	1497
422	5996	1988
423	2498	1751
424	2498	1990
425	5997	1747
426	2497	1751
427	2487	2002
428	2497	6499
429	7004	1755
430	2757	1747
431	2480	1759
432	6257	1499
433	2497	1750
434	2739	1757
435	5750	1498
436	2513	1998
437	2737	1754
438	5747	1500
439	2499	2000
440	2744	2002
441	5750	1989
442	2497	2002
443	2748	1741
444	5740	1517
445	2259	1996
446	2752	1743
447	5240	1751
448	2249	2000
449	5496	1500
450	2501	1998
451	2745	4743
452	5248	1997
453	2739	2014
454	5755	1752
455	2496	1752
456	2748	1756
457	2506	4242
458	5239	1751
459	2499	4501
460	5248	1742
461	2754	1752
462	5492	1747
463	2494	2004
464	2749	2005
465	5745	1751
466	1499	1000
467	1499	2750
468	6495	2010
469	2747	1759
470	2756	1737
471	5494	1749
472	2504	1743
473	2740	1753
474	4997	1753
475	2490	1758
476	6248	1753
477	2508	1756
478	2744	1756
479	5998	1756
480	2246	2001
481	2750	1752
482	4994	1751
483	2500	1749
484	6485	1757
485	2502	1765
486	2504	1755
487	5992	1762
488	2500	1758
489	2498	1752
490	4999	1747
491	2502	1743
492	6496	1488
493	2482	1754
494	2500	1772
495	6010	1748
496	2493	1749
497	2500	1750
498	4993	1750
499	2497	1752
500	6247	1741
501	2739	1748
502	2751	1755
503	5758	1749
504	2495	1752
505	2500	1752
506	2499	6248
507	6990	1774
508	2500	1779
509	2496	1991
510	6499	1499
511	2252	2005
512	2742	1999
513	5996	1501
514	2249	2013
515	2748	1999
516	5995	1502
517	2491	1748
518	2498	2001
519	6005	1501
520	2498	1755
521	2499	1754
522	5998	1750
523	2497	1751
524	2751	4247
525	5235	1760
526	2499	1998
527	6006	1510
528	2498	2012
529	2745	1757
530	5753	1747
